,src/tcc.c,src/tcctools.c,src/libtcc.c,src/i386-asm.c,src/x86_64-link.c,src/x86_64-gen.c,src/tccrun.c,src/tccelf.c,src/tccasm.c,src/tccdbg.c,src/tccgen.c,src/tccpp.c,include/tcc.h,total_coverage
Iteration 0,55.24,0.0,38.6,0.0,0.0,34.44,2.22,18.59,0.0,8.54,45.64,63.21,39.62,33.34
Iteration 1,55.24,0.0,38.71,40.64,0.0,37.34,2.22,18.59,22.72,8.78,49.03,65.02,39.62,38.64
Iteration 2,55.24,0.0,38.71,40.64,0.0,39.26,2.22,18.59,22.72,8.78,51.58,65.88,39.62,39.75
Iteration 3,55.24,0.0,38.71,40.64,0.0,39.26,2.22,18.59,22.72,8.78,51.62,65.88,39.62,39.76
Iteration 4,55.24,0.0,38.71,40.64,0.0,51.01,2.22,18.59,22.72,8.78,55.36,67.25,43.4,42.09
Iteration 5,55.24,0.0,38.71,40.64,0.0,57.06,2.22,18.64,22.72,8.78,57.88,68.07,43.4,43.49
Iteration 6,55.24,0.0,38.71,40.64,0.0,57.06,2.22,18.64,22.72,8.78,57.9,68.11,43.4,43.5
Iteration 7,55.24,0.0,38.71,40.64,0.0,58.81,2.22,18.64,22.72,8.78,58.45,68.2,43.4,43.83
Iteration 8,55.24,0.0,38.71,45.04,0.0,59.16,2.22,18.64,22.72,8.78,58.45,68.29,43.4,44.13
Iteration 9,55.24,0.0,38.71,45.04,0.0,62.93,2.22,18.64,22.72,8.78,59.53,68.29,43.4,44.77
